Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
MRNA,"Moderna, Inc.",133.77,1.53320683,2.02,Sell,2561351,342631923.27000004,50994374828.18823,11.54951953,12.2322,3900,Health Technology
KHC,The Kraft Heinz Company,40.88,-0.48685492,-0.2,Buy,7023796,287132780.48,50169473232.29406,20.81784387,1.9762,37000,Consumer Non-Durables
AZO,"AutoZone, Inc.",2726.51,0.62630557,16.97,Buy,120981,329855906.31,50161527595.67652,22.41546855,125.5953,112000,Retail Trade
PXD,Pioneer Natural Resources Company,211.24,-0.52272192,-1.11,Sell,1155350,244056134,49374295762.0632,7.48472866,29.4766,2076,Energy Minerals
ECL,Ecolab Inc.,172.85,0.01157207,0.02,Buy,859561,148575118.85,49214021531.61604,42.85678865,4.0488,47000,Process Industries
SRE,DBA Sempra,155.71,0.50345317,0.78,Buy,1454031,226407167.01000005,48994233767.1016,20.07917677,7.7851,15785,Utilities
ROP,"Roper Technologies, Inc.",457.55,-0.15275505,-0.7,Buy,261914,119838750.7,48771275637.77414,41.84576832,11.0142,15800,Technology Services
KMB,Kimberly-Clark Corporation,143.92,-0.56653309,-0.82,Buy,1372385,197513649.2,48555881476.66602,24.63708573,5.8579,44000,Consumer Non-Durables
DG,Dollar General Corporation,220.61,0.27727273,0.61,Buy,1246334,274953743.74,48337523976.89445,20.65849479,10.7334,170000,Retail Trade
MSI,"Motorola Solutions, Inc.",286.57,0.58617059,1.67,Neutral,590257,169149948.49,48062680159.45918,35.83020755,8.2115,20000,Electronic Technology
EMR,Emerson Electric Company,83.65,-0.19090801,-0.16,Sell,1941777,162429646.05,47805973607.66316,24.58703192,3.4176,85500,Electronic Technology
LVS,Las Vegas Sands Corp.,62.37,0.2733119,0.17,Buy,2776218,173152716.66,47667605451.18424,,-0.7173,35700,Consumer Services
F,Ford Motor Company,11.86,-1.33111481,-0.16,Sell,42878327,508536958.22,47439527242.83694,16.62228451,0.7225,173000,Consumer Durables
NSC,Norfolk Southern Corporation,208.3,0.58914429,1.22,Buy,1194237,248759567.10000005,47417329653.70291,16.01839462,13.0378,19300,Transportation
D,"Dominion Energy, Inc.",56.5,0,0,Sell,3449133,194876014.5,47230692902,52.68556509,1.0947,17200,Utilities
MPC,Marathon Petroleum Corporation,110.94,2.05132922,2.23,Sell,5638008,625480607.52,47069934145.29758,3.34099266,33.4304,17800,Energy Minerals
CTAS,Cintas Corporation,461.54,0.28246132,1.3,Strong Buy,398556,183949536.24,46939450136.84431,37.051844,12.682,43000,Consumer Services
AEP,"American Electric Power Company, Inc.",91.1,-1.12871717,-1.04,Strong Sell,2026739,184635922.89999995,46897450092.24876,23.61510745,3.872,16974,Utilities
RSG,"Republic Services, Inc.",146.99,0.78853538,1.15,Strong Buy,1116934,164178128.66,46490336772.70186,30.6727599,4.7999,40000,Industrial Services
DXCM,"DexCom, Inc.",119.65,-0.44100516,-0.53,Neutral,1301009,155665726.85,46380602064.8161,169.88499219,0.7526,7600,Health Technology
GM,General Motors Company,33.28,-1.12893642,-0.38,Neutral,11841912,394098831.36,46263311040.03802,5.14628564,6.5206,167000,Consumer Durables
WDAY,"Workday, Inc.",178.43,-0.65144766,-1.17,Sell,1690348,301608793.64,46213371570.70061,,-1.4387,17700,Technology Services
PNC,"PNC Financial Services Group, Inc. (The)",115.7,-1.10265835,-1.29,Strong Sell,3063763,354477379.1,46176798485.82443,7.91793271,14.6223,61545,Finance
KDP,Keurig Dr Pepper Inc.,32.71,-0.4261796,-0.14,Strong Sell,6139414,200820231.94,45917522837.72298,35.33923941,0.933,28000,Consumer Non-Durables
AJG,Arthur J. Gallagher & Co.,216.08,0.35296303,0.76,Strong Buy,816446,176417651.68,45829271813.03065,40.12106133,5.4932,44000,Finance
USB,U.S. Bancorp,29.91,0.57162071,0.17,Sell,18209201,544637201.91,45795795050.41493,7.98004322,3.7488,78192,Finance
BIIB,Biogen Inc.,314,-0.11769571,-0.37,Buy,906114,284519796,45449084499.29065,14.58084708,21.6154,8725,Health Technology
KVUE,Kenvue Inc.,26.28,-0.86759713,-0.23,Strong Sell,4684394,123105874.32,45100683213.88155,,,,Retail Trade
APH,Amphenol Corporation,75.19,-0.2123424,-0.16,Sell,1547752,116375472.88,44762041606.24034,24.31759379,3.2178,91000,Electronic Technology
TDG,Transdigm Group Inc.,808.41,4.67564418,36.11,Strong Buy,625917,505997561.97,44137617478.38899,54.66514295,14.7884,14400,Electronic Technology
PH,Parker-Hannifin Corporation,339.11,1.27523593,4.27,Strong Buy,1195898,405540970.78,43506488910.34862,29.35077075,11.7086,55090,Producer Manufacturing
PSX,Phillips 66,93.98,0.02128565,0.02,Sell,3274214,307710631.72,43123878974.00426,3.63436677,25.9431,13000,Energy Minerals
PCG,Pacific Gas & Electric Co.,17.28,-0.7466973,-0.13,Buy,18187412,314278479.36,42742459313.36933,20.07434944,0.9059,26010,Utilities
ANET,"Arista Networks, Inc.",138.52,0.32592163,0.45,Sell,2212449,306468435.48,42703336607.23721,28.80552321,4.9528,3612,Electronic Technology
TRV,"The Travelers Companies, Inc.",183.75,0.64632744,1.18,Strong Buy,1076604,197825985,42441945061.68183,15.63643481,11.8913,32500,Finance
EXC,Exelon Corporation,42.62,-0.35071312,-0.15,Sell,5559034,236926029.08,42388529942.94599,18.85006634,2.2652,19063,Utilities
KKR,KKR & Co. Inc.,49.01,-0.60839586,-0.3,Sell,2643598,129562737.97999997,42202902843.44799,,-1.3507,4500,Finance
HES,Hess Corporation,136.16,-0.52600818,-0.72,Sell,1013806,138039824.96,41808185456.59614,19.55254315,6.9989,1623,Energy Minerals
ADSK,"Autodesk, Inc.",192.73,0.38543674,0.74,Sell,959660,184955271.8,41395070875.2398,50.95307336,3.8031,13700,Technology Services
STZ,"Constellation Brands, Inc.",225.46,-1.20070114,-2.74,Sell,747954,168633708.84,41316085238.51815,,-0.5437,10700,Consumer Non-Durables
ADM,Archer-Daniels-Midland Company,75.02,-0.50397878,-0.38,Sell,2464161,184861358.22,40858505522.68196,9.41267989,8.0117,42001,Process Industries
AFL,AFLAC Incorporated,67.42,-0.32525133,-0.22,Neutral,1439975,97083114.5,40736983281.45418,9.74939627,6.9445,12882,Finance
CTVA,"Corteva, Inc.",57.1,-0.85084216,-0.49,Sell,2771686,158263270.6,40590847599.01546,35.12117112,1.6372,21000,Process Industries
MET,"MetLife, Inc.",52.79,-1.67628981,-0.9,Sell,7741544,408676107.76,40427682260.99851,23.77285418,2.2368,45000,Finance
MCHP,Microchip Technology Incorporated,72.71,-2.10044432,-1.56,Strong Sell,5017525,364824242.74999994,39830237975.06369,18.10327657,4.0673,,Electronic Technology
IDXX,"IDEXX Laboratories, Inc.",479.37,-1.26871666,-6.16,Sell,220615,105756212.55,39790076175.17758,57.68244991,8.4018,10780,Health Technology
VLO,Valero Energy Corporation,108.4,0.94989756,1.02,Sell,4146013,449427809.2000001,39188434996.57292,3.08017549,35.2142,9743,Energy Minerals
ET,Energy Transfer LP,12.5,1.37875101,0.17,Sell,12535898,156698725,38709682987.63179,9.31445604,1.35,12565,Industrial Services
PAYX,"Paychex, Inc.",107.25,0.86523088,0.92,Sell,2051279,219999672.75,38664578111.87812,25.86331629,4.1705,16000,Technology Services
HLT,Hilton Worldwide Holdings Inc.,145.72,0.11679835,0.17,Buy,1073968,156498616.96,38561378159.34236,32.0418664,4.584,159000,Consumer Services
YUM,"Yum! Brands, Inc.",137.61,0.79103494,1.08,Buy,1094934,150673867.74,38545644972.3039,32.29978406,4.3232,36000,Consumer Services
